White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
Kinio,Chess-31,1754,1798,1-0,D70,Neo-Gruenfeld Defense: Non- or Delayed Fianchetto,180+0,Normal,Nf3 d5 d4 Nf6 c4 g6 cxd5 Nxd5 e4 Nf6 Nc3 Bg7 Be2 Nc6 O-O a6 d5 Na7 Bg5 O-O Rc1 b5 a3 a5 e5 Nh5 Nxb5 Nxb5 Bxb5 f6 Be3 fxe5 d6 exd6 Qd5+ Kh8 Qxa8 Qe7 Qxa5 Bg4 Rxc7 Qe6 Bc4 d5 Bxd5 Qd6 Ng5 Qf6 Ne6 Bxe6 Rc6 Re8 Rxe6 Rxe6 Bxe6 Qxe6 Qd8+ Qg8 Qxg8+ Kxg8 b4 e4 b5 Be5 a4 Nf6 Rc1 Nd5 Rc5 Nxe3 fxe3 Bd6 Rc6 Bb4 b6 Bd2 Kf2,Rated Blitz game,1754,1798,-44,1,6.0,2
Francolo,Ahmed_Joseph,1394,1441,0-1,C46,Four Knights Game: Italian Variation,600+8,Normal,e4 e5 Bc4 Nf6 Nf3 Nc6 Nc3 Be7 d4 d6 Ng5 O-O Nf3 exd4 Nxd4 Bg4 f3 Bh5 Bf4 Re8 Nxc6 bxc6 Bd3 d5 e5 Nd7 Qd2 d4 Bh6 Rb8 Na4 Bb4 c3 dxc3 bxc3 Be7 O-O gxh6 Qxh6 Bg6 Rad1 Bxd3 Rxd3 Nxe5 Rxd8 Rexd8 h3 Ng6 Re1 Bd6 c4 Bg3 Rf1 Rd4 Nc3 Rxc4 Ne4 Be5 Ng5 Rh4 Qxh7+ Rxh7 Ne4 Rb2 g3 Rxh3 f4 Bd4+ Nf2 Rxg3+ Kh1 Bxf2 Kh2 Nxf4 Rxf2 Rxf2+ Kxg3 Rf1 Kg4 Ne2,Rated Classical game,1394,1441,-47,1,6.0,0
tigresa1,rodrigochees12,895,941,0-1,A00,Clemenz Opening,180+0,Time forfeit,h3 e6 Nf3 Bc5 e3 Qf6 d3 Nh6 g3 Nf5 Be2 b6 g4 Nd6 Bd2 Na6 Nc3 h6 O-O O-O b3 Bb7 a3 Bc6 Rc1 Bd5 h4 Qg6 Nh2 Rae8 f3 f6 Rf2 Bxa3 Kf1 Bxc1 Bxc1 Rd8 Qd2 Rde8 Ke1 Rd8 Rf1 Rde8 Qd1 Rd8 e4 b5 exd5 Nb4 h5 Qf7 Bd2 Rb8 f4 Rb6 Nf3 Ra6 Be3 Ra3 Qd2 Ra1+ Kf2 Rxf1+ Kxf1 Rb8 Kf2 Rb6 Qd1 Ra6 Kg2 Ra3 Nh4 Ra6 d4 Ra3 Nb1 Ra2 Nd2 Qe8 Qh1 Nxc2 Kh2 Ra6 Bf1 Nxe3 Bh3 Nf1+ Nxf1 Ra1 Bg2 Ra6 Bh3 Ra3 f5 Ra6 Ng3 Ra3 Nf1 Ra6 Bg2 Ra3 Bf3 Ra6 Kh3 Ra3 Qh2 Ra1,Rated Blitz game,895,941,-46,1,10.0,0
S206,claudiocunha1980,1520,1394,1-0,B20,Sicilian Defense,300+5,Normal,e4 c5 e5 Nc6 Bb5 Nxe5 Qe2 Nc6 Qf3 e6 d3 a6 Bc4 b5 Bb3 Nf6 Bg5 Be7 Ne2 d5 O-O Bb7 Qg3 O-O a4 b4 Re1 h6 Bf4 h5 Bg5 Bd6 Nf4 Qd7 Bxf6 g6 Qg5 e5 Nxh5 Qf5 Qh6 Qxh5 Qg7#,Rated Classical game,1520,1394,126,1,6.0,2
snarfels,ratso,1670,1860,1-0,A43,Old Benoni Defense,60+0,Time forfeit,d4 c5 c4 e6 dxc5 Bxc5 Nc3 Be7 e4 Nf6 Nf3 O-O Bd3 d5 cxd5 exd5 exd5 Nxd5 Nxd5 Re8 Nxe7+ Rxe7+ Kf1 Bg4 Bxh7+ Kxh7 Qxd8 Rd7 Qh4+ Kg8 Qxg4 Rd1+ Ne1 Rd6 Qc8+ Kh7 Qxb7 Na6 Qxa8 Nc5 Qxa7 Ne4 f3 Nf6 Qxf7 Rd1 Ke2 Rd7 Nd3 Rxf7 Ne5 Re7 f4 Nd7 Kf3 Nxe5+ fxe5 Kg6 Bf4 Rf7 g3 Kf5 Rhf1 g5 Ke3 Ke6 Bxg5 Rd7 Rfd1 Rb7 Ke4 Kf7 Rd6 Rb4+ Kd3 Rb5 Kd4 Rb8 Rf1+ Kg7 Rff6 Kg8 Rfe6 Rb4+ Kc5 Rb8 Re7 Rc8+ Kb6 Ra8 Kb7 Rb8+ Kxb8 Kf8 Rc7,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1670,1860,-190,1,6.0,2
Samgilf96,damablanca,1204,1289,1-0,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",900+0,Normal,e4 e5 Bc4 Nf6 Nf3 Nc6 Ng5 d5 exd5 Nxd5 Qf3 Qxg5 Qxf7+ Kxf7 Bxd5+ Ke7 O-O Bh3 d4 Nxd4 Bxg5+ Kd6 Nc3 Ne2+ Nxe2 Bxg2 Kxg2 h5 Bf7 Be7 Rfd1+ Kc6 Bxe7 Rhf8 Bxf8 Re8 Bxe8+ Kb6 Rd5 g5 Rxe5 c5 Rxc5 a5 Rxg5 a4 Rxh5 a3 bxa3 Ka6 f4 b5 f5 b4 axb4,Rated Classical game,1204,1289,-85,1,6.0,2
rapidoyfuriioso,IgorKoc,2000,2003,1-0,D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Simple Variation",0+1,Normal,e4 d5 d4 dxe4 Nc3 e5 Nxe4 exd4 Nf3 c5 Bc4 Nc6 O-O Be6 Re1 Bxc4 Nd6+ Kd7 Nxc4 Nf6 Bg5 b5 Nce5+ Nxe5 Nxe5+ Kc7 Nxf7 Qd5 Bf4+ Kb6 Nxh8 Qg8 Qf3 Qxh8 Qxa8 Bd6 Qxh8 Bxf4 Qxg7 Be5 Rxe5 Nd7 Qxd7,Rated Bullet tournament https://lichess.org/tournament/giz7Yftp,2000,2003,-3,1,6.0,2
subteacher,siktimopto,1767,1154,1-0,B00,King's Pawn,300+0,Abandoned,e4,Rated Blitz tournament https://lichess.org/tournament/summer15,1767,1154,613,1,2.0,2
Alerezi,Amanda-Pie,1612,1774,0-1,C00,French Defense: Knight Variation,0+1,Time forfeit,e4 e6 Nf3 b6 d4 Bb7 Nc3 Be3 Ng6 Bc4 Nc6 Qd2 a3 Na5 Ba2 Bd6 h4 h5 Nf8 gxf6 d5 Qd7 Kb1 O-O-O cxd5 exd5 Nc3 Nc4 Bxc4 dxc4 Nxd5 Qxd5 Bxd6 cxd6 Rhe1 d5 Rxe7,Rated Bullet game,1612,1774,-162,1,6.0,0
thisisdhaas,das14,1951,2051,1-0,A00,Mieses Opening,0+1,Time forfeit,d3 e6 c4 d5 Nc3 cxd5 cxd5 d4 Be7 Nf3 Nf6 e3 a6 Bd3 O-O O-O b5 a4 b4 Na2 a5 b3 Bb7 Bd2 Nbd7 Nc1 Re8 Ne2 Bd6 Ng3 e5 e4 Bb5 exf3 Qxf3 Ne4 Nxe4 dxe4 Qh3 Bxd7 Bb5 Bd5 Bxb3 Rc6 Bd5 Rc2 Rc8 Rxc8 Qxc8,Rated Bullet game,1951,2051,-100,1,10.0,2
