White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
Trillium9876,Pismennyy74,1465,1347,0-1,B00,Caro-Kann Defense: Hillbilly Attack,540+7,Normal,e4 c6 Bc4 d5 exd5 cxd5 Bb3 a6 Nf3 Bg4 h3 Bxf3 Qxf3 e6 O-O Qf6 Qg4 Nh6 Qa4+ b5 Qa5 Be7 Qc7 O-O d4 Rd8 Bxh6 gxh6 Qg3+ Qg7 Qf3 Nc6 c4 dxc4 Bxc4 Nxd4 Qe4 bxc4 Rd1 f5 Qd3 cxd3,Rated Classical game,1465,1347,118,1,6.0,0
goodgoodgame,princeofspace,1861,1841,0-1,A43,Benoni Defense: Old Benoni,60+0,Normal,d4 c5 d5 d6 c4 e6 Nc3 exd5 cxd5 g6 e4 Bg7 Nge2 Nf6 Ng3 Nbd7 Be2 Ne5 O-O h5 h3 h4 Nh1 Nh5 f3 Ng3 Nxg3 hxg3 Bf4 Qh4 Qd2 Bh6 Bxh6 Rxh6 f4 Nd7 f5 Nf6 fxg6 Rxg6 Qf4 Qxf4 Rxf4 Bd7 Raf1 Ke7 e5 Nh5 Rxf7+ Kd8 Bxh5 Rg5 Rf8+ Kc7 Rxa8 Bc8 Rxc8+ Kxc8 Bg4+ Kc7 e6 Kd8 Re1 Ke7 Bh5 Rxh5 Ne4 Re5 Nxc5 Rxe1#,Rated Bullet game,1861,1841,20,1,6.0,0
pravdachess,rajma420,1712,1499,1-0,A04,Zukertort Opening: Ross Gambit,60+0,Normal,Nf3 Nxe5 Nc6 Nf3 Nge7 Bg2 d6 O-O Bd7 d4 g6 d5 dxc6 bxc6 c4 f5 Nc3 Bg5 cxd5 Nxd5 h6 Bxe7 Qe8 Bxf8 Qxf8 Qb3 Bc6 Nxc7+ Kh8 Nxa8 Qxa8 Qf7 Bxf3 Bxf3 Qxf8+ Bxf8 Rfd1 Kh7 Rc8 g5 Rd1 g4 Bd5 Kg6 Rdc1 Kh5 R1c6 Be5 Kg5 Kh5 Bxg3 hxg3 gxf3 Bxf3+ Kg5 Rg7#,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1712,1499,213,1,10.0,2
Everton85,crapule31,1716,1815,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",360+4,Normal,e4 Nc6 d4 e5 d5 Nce7 c4 Nf6 Bd3 Ng6 g3 Bc5 Qe2 d6 Nf3 Bg4 Nbd2 O-O O-O Nh5 Qd1 Qd7 Qb3 f5 exf5 Bxf5 Bxf5 Qxf5 Qxb7 e4 Nh4 Nxh4 gxh4 Bxf2+ Kh1 e3 Qb3 exd2 Bxd2 Qe4+,Rated Classical game,1716,1815,-99,1,6.0,0
besieger,r3algood,1424,1275,0-1,B01,Scandinavian Defense,600+0,Normal,e4 d5 exd5 Qd7 a4 Nf6 Nf3 Nxd5 Bc4 Qg4 h3 Qxc4 d3 Qc6 O-O Nd7 Ng5 N7f6 Bf4 h6 Nf3 g5 Bh2 g4 hxg4 Bxg4 Na3 h5 Nb5 Rg8 Re1 Bh3 g3 h4 Nxh4 Nf4 Nf3 Bg4 Re3 Nh3+ Kg2 Nd5 Nbd4 Nxe3+ fxe3 Bxf3+ Nxf3 Bh6 Qe2 Rg6 Kxh3 Qe6+ Kg2 O-O-O Ng1 Rh8 Nh3 Bxe3 Qf3 Qxh3+,Rated Classical game,1424,1275,149,1,6.0,0
AdVSc2,dappertutto,1748,1670,1-0,C07,"French Defense: Tarrasch Variation, Open System, Suechting Line",300+0,Normal,e4 e6 d4 d5 Nd2 c5 c3 cxd4 cxd4 Nf6 e5 Nfd7 Ngf3 a6 Nb3 b5 Be3 Bb4+ Bd2 Bxd2+ Qxd2 Nc6 Rc1 Bb7 Be2 Nb6 Nc5 Qe7 Qc3 Rc8 b3 b4 Qc2 a5 O-O O-O Nd2 Nxd4 Qd3 Nxe2+ Qxe2 Rxc5 Nf3 Rxc1 Rxc1 Rc8 Rxc8+ Nxc8 Qb5 Na7 Qb6 Nc6 Nd4 Nxd4 Qxd4 Qc7 h3 h6 Qa7 Kh7 f4 Bc6 Qxc7,Rated Blitz game,1748,1670,78,1,10.0,2
Yuki61,danmaz74,1655,1648,0-1,C20,King's Pawn Game: Leonardis Variation,180+0,Time forfeit,e4 e5 d3 Nc6 c3 d6 h3 Nf6 Qf3 Be7 Be2 O-O g4 d5 g5 dxe4 dxe4 Nd7 h4 a6 Be3 b5 Nd2 b4 cxb4 Bxb4 Bc4 Nd4 Bxd4 exd4 O-O-O Ne5 Qb3 Bxd2+ Rxd2 c5 g6 Nxg6 Bd5 Ra7 Qc4 Nf4 Nh3 Nxd5 exd5 Qxh4 Qxc5 Rd7 Rxd4 Bb7 Rxh4 Rc8 Qxc8+ Bxc8 Nf4 g5 Rg4 f6 Nh5 Rf7 Rc4 Bg4 Ng3 Bf3 Re1 Bxd5 Re8+ Kg7 Nf5+ Kg6 Ne7+ Rxe7 Rxe7 Bxc4 b3 Bf1 Re1 Bd3 Kd2 Bf5 Rg1 h5 f3 h4 Ke3 Kh5 a4 h3 b4 Kh4 b5 axb5 axb5 Be6 b6 Bd5 Rg4+ Kh5 Kf2 f5 Rg1 g4 fxg4+ fxg4 Rg3 Kh4 Rd3 Bb7 Rd7 Be4 b7 g3+ Kg1 h2+ Kf1 h1=Q+ Ke2 Bxb7 Rxb7 Qf3+ Kd2 Qxb7 Ke2 g2,Rated Blitz game,1655,1648,7,1,6.0,0
MINTUPIEZZI,IMike25,2008,2170,0-1,A40,Modern Defense,180+0,Normal,d4 g6 Nf3 Bg7 e3 Nf6 Be2 O-O O-O d5 c4 c6 Nbd2 Nbd7 b4 Re8 Bb2 e5 dxe5 Ne4 cxd5 cxd5 Nxe4 dxe4 Nd2 Nxe5 Nxe4 Qe7 Bxe5 Qxe5 Nd6 Rd8 Nc4 Rxd1,Rated Blitz game,2008,2170,-162,1,10.0,0
neuquelino,hamada,1356,1562,0-1,D07,Queen's Gambit Refused: Chigorin Defense,300+0,Normal,d4 d5 c4 Nc6 Bg5 h6 Bh4 g5 Bg3 Bg7 e3 e5 cxd5 Qxd5 Nc3 Qd8 d5 Nce7 Bc4 c6 Nf3 cxd5 Nxd5 Nxd5 Bxd5 Ne7 Nxe5 Nxd5 Nxf7 Kxf7 Qb3 Qa5+ Ke2 Be6 Qxb7+ Ne7 Qf3+ Nf5 e4 Bc4+ Kd1 Rad8+ Kc2 Qd2+ Kb1 Bd3+ Qxd3 Qxd3+ Kc1 Qd2+ Kb1 Nd4 a3 Qc2+ Ka2 Nb5 Rac1 Qxb2#,Rated Blitz tournament https://lichess.org/tournament/summer15,1356,1562,-206,1,6.0,0
Zimmerpflanze,barolo,1469,1449,0-1,E30,Nimzo-Indian Defense: Leningrad Variation,300+0,Time forfeit,d4 Nf6 c4 e6 Bg5 Bb4+ Nc3 h6 Bh4 d5 c5 g5 Bg3 Ne4 Rc1 Nc6 f3 Nxg3 hxg3 e5 a3 exd4 axb4 dxc3 bxc3 a5 b5 Ne7 e3 Be6 Ne2 a4 Nd4 Nf5 Kf2 a3 Ra1 Nxd4 cxd4 Qb8 Bd3 Qa7 Qb3 a2 Rhe1 Qa3 Qc2 b6 c6 Bc8 Re2 Qd6 Rxa2 Rxa2 Qxa2 Kf8 Qa8 Kg7 Qa4 Re8 g4 Re7 Qd1 Re8 Qh1 Qf6 Qh3 Qe6 Re1 Qf6 Rh1 Qe6 Re1 Qf6 Qh5 Qe7 Kg3 Qd6+ Kf2 Qe7 Qh2 Qa3 Be2 Qxe3+ Kf1 Re7 Qg3 Qxd4 Bd1 Rxe1+ Qxe1 Kf6 Qe8 Qxd1+ Kf2 Qd4+ Kg3 Qe5+ Kf2 Qe7 Qxc8 Qd6 Kg1 Qc5+ Kh2 Qd6+ Kg1 Qc5+ Kh2 Qc1 Kg3 Qf4+ Kf2 Qd2+ Kg3 Qf4+ Kf2 Qe5 Kg1 Qe2 Kh2 Qf2,Rated Blitz game,1469,1449,20,1,6.0,0
dakofa321,donaldtrump2016,1458,1339,1-0,C44,Ponziani Opening,300+8,Normal,e4 e5 Nf3 Nc6 c3 d6 Bb5 Bd7 Bxc6 Bxc6 d4 Bd7 dxe5 Bg4 exd6 Bxf3 Qxf3 Qxd6 Bf4 Qe6 e5 O-O-O O-O f6 Re1 fxe5 Bg5 Be7 Bxe7 Qxe7 h3 Qc5 Rxe5 Qxe5 Na3 Nf6 Qg4+ Nd7 Nc4 Qf6 Qe4 Nc5 Qg4+ Rd7 Re1 Nd3 Re2 Nxf2 Rxf2 Qa6 a3 b5 Ne5 Qd6 Nf7,Rated Classical game,1458,1339,119,1,10.0,2
chunchozurdo,jags,1653,1804,0-1,B50,Sicilian Defense: Delayed Alapin,180+2,Time forfeit,e4 c5 Nf3 d6 c3 Nf6 d4 Nxe4 Bd3 Nf6 Bg5 e6 Nbd2 cxd4 Nxd4 a6 O-O Be7 Qf3 O-O Qh3 h6 Nd5 Bxe7 Qxe7 Rfe1 Nf4 Nxh3+ gxh3 Qg5+ Ng3 Qxd2,Rated Blitz game,1653,1804,-151,1,6.0,0
miguelinking,TwinkleToes,1047,1792,0-1,A00,Van't Kruijs Opening,300+0,Normal,e3 d5 Nf3 Nf6 d3 c5 Be2 Nc6 O-O e5 Qe1 Be7 cxd4 e4 h6 Nxf7 Kxf7 Nxh5 Nxf4 Qh5+ Nxh5 Nd2 Kg8 b3 Nxd4 c4 Ne2+ Kh1 Nhf4 g3 Nd3 Nxe4 Ncxe1 Rxe1 Nxe1 d6 Nxd6 Qxd6 Kg1 Qd3 b4 Qf3 h3 Qg2#,Rated Blitz tournament https://lichess.org/tournament/summer15,1047,1792,-745,1,10.0,0
Cornedauroch,Paleto-plus,1588,1716,0-1,A00,Van Geet Opening: Gruenfeld Defense,180+3,Time forfeit,e4 dxe4 Nxe4 e5 Nf3 exd4 Qxd4 Ngf6 Nxf6+ Qxf6 Qe7 Bd3 Nc5 Nxd3+ cxd3 Bg4 Ne5 O-O f6 Qxe3 Bxe3 O-O-O Rac1 Be2 Rfe1 Bxd3 Kb8,Rated Blitz game,1588,1716,-128,1,10.0,0
necke,spaskaspaski,1427,1687,0-1,C23,Bishop's Opening,300+8,Normal,e4 e5 Bc4 Qh4 Bxf7+ Kxf7 Nf3 Qf6 d4 exd4 c3 dxc3 Qd5+ Ke8 Bg5 Qe6 Nxc3 Bb4 O-O Bxc3 bxc3 Nf6 Bxf6 gxf6 Rfe1 c6 Qxe6+ dxe6 e5 f5 Rad1 Na6 Ng5 Ke7 h4 h6 Nf3 Nc5 Rd6 Ne4 Rd3 b6 Nd4 Bb7 f3 Nc5 Nb3 Nxd3 Rd1 Nxe5 Kh2 Rad8 Rg1 Rhg8 Nd4 c5 Ne2 Bd5 Nf4 Bxa2 Nh5 Bd5 c4 Bxc4 f4 Ng4+ Kh3 Bd5 g3 Nf2+ Kh2 Bf3 Rf1 Rd2 Kg1 Nh3#,Rated Classical game,1427,1687,-260,1,10.0,0
jalrivi1952,ledorsky,1748,1690,1-0,A40,Horwitz Defense,300+0,Normal,d4 e6 e3 d6 Bd3 c6 f4 Ne7 Nf3 f5 O-O Ng6 c4 Nd7 Nc3 Be7 Bd2 d5 cxd5 cxd5 Ne5 Ndxe5 fxe5 O-O Be1 a6 a4 Qb6 b3 Bd7 Rc1 Qd8 Bg3 Rb8 Ne2 Ba3 Rc2 Qe7 Nf4 Nxf4 exf4 b5 axb5 Bxb5 Bxb5 Rxb5 Qd3 Rfb8 Rb1 a5 Rc6 Qd7 Qc2 Qa7 Bf2 Qd7 Rc7 Qe8 Ra7 Bb4 Qc7 Bf8 Be1 Rxb3 Rxb3 Rxb3 Qxa5 Rb1 Kf2 Rb2+ Bd2 Qh5 Qc7 Qh4+ Ke2 Qg4+ Kd3 Qxg2 Qf7+,Rated Blitz tournament https://lichess.org/tournament/summer15,1748,1690,58,1,6.0,2
peacenblessing,AjedrezArg,1718,1494,0-1,B02,Alekhine Defense: Normal Variation,360+0,Time forfeit,e4 Nf6 e5 Nd5 Nf3 d6 exd6 cxd6 Bb5+ Nc6 Bxc6+ bxc6 O-O g6 c3 Bg7 d4 O-O Be3 Nxe3 fxe3 Bg4 h3 Bf5 Nbd2 Qb6 Qb3 Rab8 Qxb6 Rxb6 b3 e5 Nc4 Bd3 Nxb6 Bxf1 Na4 Bd3 Nb2 Bf5 g4 Be6 Kf2 f5 gxf5 Rxf5 Kg3 Rh5 h4 Rf5 Rf1 e4 Nd2 Ra5 a4 Bf5 b4 Ra6 a5 c5 Ra1 cxb4 cxb4 Rc6 Nbc4 d5 Na3 Bf8 b5 Rc3 Nab1 Rxe3+ Kf2 Rh3 Nf1 Rxh4 b6 axb6 a6 Rf4+ Kg2 Rg4+ Kf2 Rf4+ Ke1 Bb4+ Nfd2 Bh3 a7 e3 a8=Q+ Kg7 Qb7+ Kh6 Qxh7+ Kxh7 Ke2 Kh6 Kxe3 Rf2 Ne4 Bg4 Nxf2 Bd2+ Kxd2 Bf5 Kc3 Bxb1,Rated Blitz game,1718,1494,224,1,6.0,0
pinarooski,Balkonpflanze,1655,1742,1-0,A65,Benoni Defense: King's Pawn Line,60+0,Time forfeit,d4 Nf6 c4 c5 Nc3 e6 d5 exd5 cxd5 d6 e4 g6 a4 Bg7 Nge2 O-O Ng3 Re8 Be2 b6 O-O a6 Be3 Qc7 Qd2 Bg4 f3 Bc8 Rac1 Nbd7 Rfd1 Rb8 Qd4 cxd4 Bxd4 Nc5 f4 Qe7 e5 dxe5 fxe5 Ng4 d6 Qg5 Bxc5 bxc5 Nce4 Qe3+ Kh1 Bxe5 d7 f5 dxe8=Q+ Kg7 Nxf5+ gxf5 Qe7+ Kg6 Bxg4 fxg4 Qxe5 Bf5 Qf6+ Kh5 Ng3+,Rated Bullet game,1655,1742,-87,1,6.0,2
jmorgan1357,izzyreal,1595,1382,1-0,C41,Philidor Defense: Exchange Variation #2,600+0,Time forfeit,e4 e5 Nf3 d6 d4 exd4 Nxd4 c5 Nf3 Nc6 Nc3 Nf6 Bb5 Bd7 O-O Be7 Bg5 O-O Bxf6 Bxf6 Qxd6 Bg4 Qxc5 Bxf3 Rad1 Qxc8 Raxc8 Kg2 a6 Bd3 b5 Nd5 Nxd3 Nxf6+ gxf6 cxd3 Rc2 Rb1 Rd2 b4 Rxd3 f4 Rd2 a3 Re2 Rxe4 Kf3 Rc4 Rbc1 Rd4 Rfd1 Rxc4 bxc4 Rd6 c3 Rc6 Rd8 Rxc3 Rd2 Rd3+ Ke2 Rxa3 Rxf6 Kg7 Ra4 Rg5+ Rxb5 Rxf4 Rb6+ Kg5 Rb3 h5 Rg3+ Kh4 Ke3 Rb4 Kf3 f5 Kg2 Rg4 Kg1 f4 Rxg4+ hxg4 Kf1 Kh3 Kg1 f3 Kh1 Kh4 Kg1 Kg5 Kf1 Kf4 Kg1 Ke4 Kd3 Kg1 Ke2 Kh1 Kxf2 h3,Rated Classical game,1595,1382,213,1,6.0,2
daorange,JackBauer,2273,2011,1-0,A58,Benko Gambit: Zaitsev System,180+0,Normal,d4 Nf6 c4 a6 Nc3 c5 d5 b5 cxb5 axb5 Nxb5 Qa5+ Nc3 Bb7 Bd2 Qb6 e4 e6 Bc4 Nxe4 Nxe4 exd5 Bxd5 Bxd5 Qe2 Qe6 f3 Bxe4 fxe4 Nc6 Nf3 Be7 O-O O-O a3 d5 Rfe1 d4 Rad1 Rfb8 Bc1 Na5 b4 Nb3 bxc5 Bxc5 Kh1 Nxc1 Rxc1 Bxa3 Nxd4 Qb6 Rcd1 Bb4 Rf1 Re8 Qg4 Qg6 Qxg6 hxg6 Nc6 Bf8 Rd7 Rxe4 Rdxf7 Rc8 Na7 Rce8 h3 Re1 Rxf8+ Rxf8 Rxe1 Ra8 Re7 Kh7 Rc7 Rf8 Kh2 Rf6 Nc6 Rd6 Ne5 Re6 Ng4 Re5 Nxe5 g5 Rc6 Kg8 Kg3 Kf8 Rc7 Ke8 Kg4 Kd8 Rd7+ Ke8 Kxg5 g6 Kxg6 Kf8 Kf6 Ke8 Ke6 Kf8 Rb7 Kg8 Kf6 Kf8 Rb8#,Rated Blitz game,2273,2011,262,1,6.0,2
Xtravia9,bluedog0615,1684,1222,1-0,B07,Pirc Defense #4,180+3,Time forfeit,e4 d6 Nf3 Nf6 Nc3 Nfd7 d4 e6 Be3 Be7 Bd3 O-O Qd2 Re8 O-O-O Nf8 Rhe1 Nbd7 Ng5 Nf6 f4 Ng4 h3 Nxe3 Qxe3 a6 g4 e5 dxe5 dxe5 Bc4 Bd7 Nxf7 Qb8 Nd6+ Be6 Bxe6+ Nxe6 Nxe8 Qxe8 f5 Bg5 Nd5 Bxe3+ Rxe3 Ng5 Nxc7 Qf8 Nxa8 Qxa8 Red3 Nf7 g5 g6 fxg6 hxg6 Rd7 Qa7 Rf1 Nxg5 Rd8+ Kh7 Rdf8 Qe3+ Kb1 Qxe4 b3 Nxh3 R8f7+ Kh6 Rf8 Kg7 R1f7+ Kh6 Rh8+ Kg5 Rxh3 Qe1+ Kb2 e4 Re7 Qb4 Rd7,Rated Blitz game,1684,1222,462,1,6.0,2
sake1,anbb,1493,1518,0-1,D10,Slav Defense #2,300+0,Normal,d4 d5 c4 c6 Nc3 Nf6 e3 Bf5 cxd5 Nxd5 Nxd5 cxd5 Qa4+ Nc6 Bb5 Qc7 Nf3 a6 Bxc6+ Qxc6 Qxc6+ bxc6 Ne5 Rc8 Bd2 f6 Nf3 e6 Ke2 Be7 Rhc1 O-O Rc3 c5 dxc5 Rxc5 Rac1 Rfc8 Rxc5 Bxc5 Bb4 Rb8 Bxc5 Rxb2+ Kf1 Rxa2 Nd4 Bd3+ Ke1 e5 Nc6 h6 Bb4 Rb2 h3 Bb5 Bc3 Re2+ Kd1 Rxf2 Rc2 Rf1+ Be1 Rg1 Nb4 Ba4 Nxa6 Bxc2+ Kxc2 Rxe1 Nc7 Re2+ Kd3 Rxg2 Nxd5 Rg3 Ne7+ Kf7 Nf5 Rxh3 Ke4 Ke6 Nxg7+ Kd6 Nf5+ Ke6 Ng7+ Kf7 Nf5 Rh1 Nd6+ Kg6 Ne8 Rh4+ Kf3 Rg4 Kxg4 h5+ Kh4 f5 Nd6 Kf6 Kxh5 f4 e4 f3 Nc4 f2 Ne3 Ke6 Kg4 Kf6 Kf3 Kg5 Nf1 Kh4 Kxf2 Kg4 Ne3+ Kf4,Rated Blitz game,1493,1518,-25,1,6.0,0
pabs,hylmz60,1319,1270,1-0,B01,Scandinavian Defense,360+0,Time forfeit,e4 d5 e5 c5 d4 cxd4 Qxd4 Nc6 Bb5 a6 Bxc6+ bxc6 Qa4 Bb7 Nf3 e6 Qb3 Qc7 Nc3 Ne7 Ne2 Ng6 Qc3 Be7 Bg5 Bxg5 Nxg5 O-O f4 c5 h4 d4 Nxd4 Bxg2 Rh2 Nxf4 Ngf3 Bxf3 Nxf3 Ng6 O-O-O Rfd8 Rg1 Rd5 Re1 Rad8 h5 Qe7 hxg6,Rated Blitz game,1319,1270,49,1,6.0,2
G4m3K1ng,Badcop899,1977,1806,1-0,D08,Queen's Gambit Refused: Albin Countergambit,300+0,Normal,d4 d5 c4 e5 e4 Nfd2 c6 Nc3 Nf6 Qa4 Bxc3 bxc3 e3 Nbd7 Be2 Nf8 O-O Ng6 Qc5 Qxc5 Bxc5 b6 Bd6 Bg3 Ne7 Rab1 Nf5 Be5 Nd6 cxd5 cxd5 c4 cxd5 Bxe2 dxe6 Bxf1 Rxf1 Nde8 Nd5 Nxe4 Nxe7 Rc1 f6 Bg3 Rc8 Rxc8 Nxc8 d5 Kf7 f3 f5 Ng5+ Kg6 Ne6 Ned6 Nf8+ Kh6 Kf2 g6 Ke2 Kg7 Ne6+ Kf6 Kd3 h6 e4 fxe4+ fxe4 e5+,Rated Blitz tournament https://lichess.org/tournament/summer15,1977,1806,171,1,6.0,2
GIL180363,georgemguitarist,1633,1635,1-0,C26,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",240+0,Normal,e4 e5 Bc4 Nf6 Nc3 Bc5 d3 O-O Bg5 Be7 Nge2 Nxe4 Bxe7 Nxc3 Bxd8 Nxd1 Bxc7 Nxb2 Bb3 Nc6 Rb1 Nxd3+ cxd3 b6 Bd6 Re8 O-O Bb7 Ng3 h6 Rbe1 Re6 Ba3 Ree8 Bb2 Kh7 Bd5 f6 Ne4 Rac8 Nd6 Nb4 Bxb7 Rb8 Be4+ Kg8 Nxe8 Rxe8 a3 Nc2 Re2 Nd4 Bxd4 exd4 Bd5+ Kf8 Rxe8+ Kxe8 Re1+ Kd8 f3 Kc7 Kf2 d6 Re4 a5 Rxd4 g5 Rc4+ Kd7 Bc6+ Ke6 a4 Ke5 Re4+ Kf5 g4+ Kg6 Be8+ Kg7 Bh5 Kf8 Re8+ Kg7 Re6 d5 Rxb6 d4 Rb5 Kf8 Rxa5 Ke7 Rd5 Ke6 Rxd4 f5 Rc4 fxg4 fxg4 Ke5 Ke3 Kd5 a5 Ke5 a6 Kd5 a7 Ke5 a8=Q Kd6 Qc6+ Ke5 Rc5#,Rated Blitz game,1633,1635,-2,1,10.0,2
DayDreams,KarAv,1648,1910,1-0,B40,Sicilian Defense: French Variation,60+0,Normal,e4 c5 Nf3 e6 Nc3 Nf6 d4 cxd4 Nxd4 a6 Bxc6 bxc6 Bg5 h6 Be3 O-O f3 e5 Nd7 gxh6 Bg5 Qh5 Nxe5 Be3+ Kh1 Bxd4 Ng6 Rh3 Qh7#,Rated Bullet tournament https://lichess.org/tournament/qjk54baK,1648,1910,-262,1,6.0,2
mevlutarikan,zinder2,1523,1632,0-1,C00,Queen's Pawn Game: Franco-Sicilian Defense,600+15,Normal,e4 e6 d4 c5 c3 Nc6 Bf4 Nf6 Qc2 cxd4 cxd4 Nxd4 Qd3 Bc5 Nc3 Ng4 Be2 Nxf2 Kxf2 Nc2+ Kf1 Nxa1 Qb1 Nb3 axb3 a6 Nf3 b5 Qd3 Qf6 Be3 Bxe3 Qxe3 Bb7 Kf2 Qg6 Rd1 Bc6 Kg1 O-O Ne5 Qf6 Nxd7 Bxd7 Rxd7 Rfd8 Rxd8+ Rxd8 e5 Qh4 Bf3 Qb4 Qb6 Qd4+ Qxd4 Rxd4 Kf2 Rd2+ Ke3 Rxb2 Kd3 Rxb3 Bc6 b4 Kc4 Rxc3+,Rated Classical game,1523,1632,-109,1,6.0,0
talsker,Narahari28,1804,1861,0-1,B12,"Caro-Kann Defense: Advance Variation, Tal Variation",60+0,Time forfeit,e4 c6 d4 d5 e5 Bf5 h4 e6 g4 Bxg4 Qxg4 h5 Qg3 Nh6 Bd3 Nf5 Bxf5 exf5 Nf3 Nd7 O-O c5 Bg5 Qb6 dxc5 Bxc5 Nbd2 f6 exf6 Nxf6 Bxf6 gxf6 Qg6+ Kd7 Qg7+ Be7 Nb3 Rag8 Qxg8 Rxg8+ Kh1 Qc7 c3 Qf4 Nbd4 Bc5 Rg1 Rxg1+ Rxg1 Bxd4 Nxd4 Qxh4+ Kg2 Qe4+ Kf1 f4 f3 Qb1+ Kf2 Qxb2+ Kf1 Qxa2 Rg2 Qa1+ Kf2 Qxc3 Kg1 Qxd4+ Rf2 Qe3 Kg2 d4 Ra2 d3 Rxa7 d2 Rxb7+ Ke6 Rb1 Kf5 Rd1 Kg6 Rxd2 Qe2+ Kh3 Qxd2 Kh4 Qe3 Kh3 Qxf3+ Kh2 Qg3+ Kh1 Qf3+ Kh2 Kg5 Kg1 Kg4 Kh2 Qf2+,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1804,1861,-57,1,6.0,0
draco024,spooky_action,1256,1194,1-0,D02,Queen's Pawn Game: Zukertort Variation,300+0,Normal,d4 d5 Nf3 c6 Bg5 h6 Bh4 Nd7 e3 Ngf6 Bxf6 Nxf6 Bd3 Bg4 O-O Qb6 b3 a5 Nc3 Ne4 Nxe4 dxe4 Be2 exf3 Bxf3 Bxf3 Qxf3 e6 c4 a4 Rab1 c5 bxa4 Qa5 Rxb7 Qxa4 Qxf7+ Kd8 Qxe6 Qa6 Rd7+ Kc8 Rd6+ Kb7 Rxa6 Rxa6 Rb1+ Ka7 Qd7+ Ka8 Qc8+ Ka7 Qb7#,Rated Blitz game,1256,1194,62,1,6.0,2
hdbxidnx,noam12,1842,1761,1-0,A00,Hungarian Opening: Sicilian Invitation,60+0,Time forfeit,g3 c5 Bg2 Nc6 d3 Nf6 c3 d6 Nd2 e5 Qc2 Bd7 Ngf3 Be7 e4 O-O O-O Qc8 a4 Bh3 b3 Qg4 Nc4 Qh5 Ne3 Rad8 Bxf5 exf5 Qxf5 Nh4 Qc8 Bxc6 Qxc6 Nf5 Rfe8 cxd4 Bg5 d5 Bxd8 Rxd8 f3 f6 Qd3 Qxc5 fxe5 fxe5 Ne4 dxe4 d3+ Rd1 Qxc2 Rf8 Rxd2,Rated Bullet game,1842,1761,81,1,10.0,2
drmryodo,samy248,1559,1503,1-0,B08,"Pirc Defense: Classical Variation, Quiet System",300+0,Normal,Nc3 Nf6 d4 Nf3 Bg7 e4 d6 Be2 O-O O-O c5 dxc5 dxc5 Qxd8 Rxd8 Be3 b6 Rad1 Rxd1 Rxd1 Nc6 Bb5 Bb7 e5 Ng4 e6 f5 Bg5 Bf6 Bxf6 Nxf6 Bxc6 Bxc6 Ne5 Bb7 Nb5 Ng4 Rd7 Nxe5 Rxb7 a6 Nc3 Kf8 Rxb6 Nc4 Rb7 Nd5 Rd8 Rd7 Rxe7 Rf7+ Ke8 Nf6+ Kd8 e7+ Kc7 e8=Q+ Kb6 Nd5+ Ka5 Qd8+ Ka4 Nc3+ Ka3 Qa5#,Rated Blitz tournament https://lichess.org/tournament/summer15,1559,1503,56,1,10.0,2
mosi915,entropiamonamour,1329,1555,0-1,A00,Van't Kruijs Opening,300+8,Normal,e3 e5 b3 d5 c4 Nf6 cxd5 Nxd5 Qf3 Bd6 Bc4 Nf6 Bb2 O-O g4 Bxg4 Qxb7 Nbd7 h3 Bh5 Ba3 Qe7 Bxd6 cxd6 Bd5 Rab8 Qxa7 Nxd5 Qd4 exd4,Rated Classical game,1329,1555,-226,1,10.0,0
BWhiffen,bykostya,1509,1533,1-0,A40,Queen's Pawn,120+6,Normal,d4 c6 c3 d5 Bf4 Nf6 e3 Bf5 Bd3 Bxd3 Qxd3 e6 Nd2 h6 e4 Be7 e5 Nh5 Bg5 Ngf3 Nxg3 hxg3 Bxd2+ Kxd2 Qb6 Kc2 Na6 Kd7 f3 c5 dxc5 Nxc5 Qe3 Qb5 Nb3 Nxb3 axb3 a5 c4 Qc6 Rc1 Ke7 Kd2 Rhd8 Ke2 b5 Qa6 Rcxc4 Rxd8 Qb6+ Rd4 Ke2 Rxc4 Qb4+ Qxb4 Rxb4 Kd7 Rxa4 Kc6 Rb4 Kd5 Rb5+ Kc6 Rb8 Kd5 b4 Kxe5 Rd8 Kf6 b5 Ke7 Rd3 e5 b6 e4 fxe4 f5 exf5 h5 b7 h4 gxh4 b8=Q h3 Kf7 Rd7+ Kg8 Qg7#,Rated Blitz game,1509,1533,-24,1,2.0,2
